ru,en
ковбой,cowboy
ладья,boat
деревяшка,piece of wood
ожесточение,bitterness
пересылка,sending
филармония,Philharmonic Society
запал,broken wind
предпринимательство,business undertakings
гребешок,scallop
брус,squared beam
солярка,
алименты,alimony
саркофаг,sarcophagus
конюх,groom
ложбина,narrow gully
душок,musty smell
таинственность,mystery
интеллигентность,refinement
дурень,simpleton
перебор,running over
допуск,right of entry
ностальгия,nostalgia
аллергия,allergy
кладовщик,storekeeper
осьминог,octopus
гравий,gravel
глазище,big eye
подшипник,bearing
стрит,
трезвость,soberness
голень,shin
тройник,tee
раздражительность,irritability
израильтянин,Israeli
хладнокровие,coolness
царевна,tsarevna
контрабанда,contraband
безнадёжность,hopelessness
страдалец,sufferer
щипец,
голгофа,Calvary
курва,
хунта,junta
кадка,tub
хуторянин,farmer
нэпман,
экология,ecology
качели,swing
абрек,
устой,abutment
перст,finger
мантия,cloak
ассортимент,assortment
первосвященник,high priest
фила,
подмётка,sole
толчея,crowd
кооперация,co-operation
нотариус,notary
задвижка,bolt
мандарин,mandarin
плед,rug
внушение,suggestion
талисман,talisman
пашня,ploughed field
плащаница,shroud of Christ
контрреволюция,counter-revolution
экскаватор,excavator
шестерня,gear
реорганизация,reorganization
госпитализация,hospitalization
кб,
взяточник,bribe-taker
пролётка,droshky
осанка,carriage
оттепель,thaw
ангина,sore throat
ликёр,liqueur
эскалатор,escalator
батенька,old man
позвонок,vertebra
фикус,ficus
знамение,sign
индивид,individual
коньячок,
заминка,hitch
тетива,bow-string
сито,sieve
трудоустройство,placing in a job
резюме,summary
самородок,nugget
периферия,periphery
работоспособность,capacity for work
вмятина,dent
горбушка,crust
воскресение,resurrection
проделка,trick
волейбол,volley-ball
виллис,jeep
горчица,mustard
рыболов,fisher
отворот,lapel
мякоть,pulp
ваучер,
сеновал,mow
сажень,sazhen
интеграция,integration
сыч,little owl
арап,blackamoor
гравюра,engraving
мормышка,
лаз,manhole
челнок,dug-out
бомбардировка,bombardment
ботва,leafy tops of root vegetables
прокол,puncture
меркурий,Mercury
снисхождение,lenience
маслёнок,Boletus luteus
провизия,provisions
иголочка,
обманщик,deceiver
вираж,turn
студень,galantine
казначей,treasurer
пятерня,all five fingers
зав,
гам,din
прокуратор,
страхование,insurance
сосенка,
переброска,transfer
баскетбол,basketball
определённость,
пенсионерка,pensioner
экзотика,exotic character
таран,battering-ram
круча,steep slope
покрой,cut
кормление,feeding
кипа,pile
ша,
алтаец,
наводнение,flood
потёк,stain
перегар,residual taste of alcohol in the mouth
пирс,pier
фасон,fashion
каптёрка,soldier foot locker
столешница,
импотент,impotent man
проституция,prostitution
вручение,handing
довольствие,allowance
голодание,fast
весельчак,
конница,cavalry
победит,
штанга,bar
манжета,cuff
взаимопомощь,mutual aid
колготки,tights
чип,
Пхеньян,
художество,art
горстка,handful
теорема,theorem
диктофон,dictaphone
нарастание,growth
пек,pitch
халява,
конура,kennel
пьедестал,pedestal
перехват,
маразм,marasmus
бильярд,billiards
затемнение,darkening
трёп,idle talk
приманка,bait
кума,
шитьё,sewing
первокурсник,freshman
цска,
эйфория,
творило,lime-pit
столп,pillar
избиение,beating
выдвижение,advancement
шуршание,rustling
снедь,food
райисполком,
чужеземец,stranger
починок,
внезапность,suddenness
ватман,Whatman
хроник,chronic invalid
стер,
сепсис,septicaemia
лужица,
подкидыш,foundling
билетик,
поспешность,hurry
термометр,thermometer
легкомыслие,lightness
обёртка,wrapper
значительность,importance
кубарь,
пластик,
военком,military commissar
сдержанность,restraint
Гонконг,Hong Kong
торгаш,mercenary-minded person
Ставрополь,
перенос,carrying over
сироп,syrup
смертность,mortality
вычисление,calculation
мыслишка,
феникс,Phoenix
форель,trout
эмпирей,
банкротство,bankruptcy
кастрюлька,
влюблённость,being in love
некромант,
репродукция,reproduction
прелюдия,prelude
перечисление,enumeration
Воронеж,
нашивка,stripe
рыбина,a big fish
сорока,magpie
нуждающийся,needy
помощница,assistant
лимит,limit
недруг,enemy
наколка,head-dress
склеп,vault
смотр,review
разбой,robbery
малец,lad
движок,slide
хоккеист,hockey player
метеорит,meteorite
реалист,realist
заслон,covering force
сор,litter
стереотруба,stereoscopic telescope
жёлоб,gutter
излечение,recovery
проулок,lane
метрополь,
тент,awning
учредитель,founder
орешник,nut-tree
штанишки,Short or small pants. Children's panties.
прошествие,
чёртик,
абхазец,Abkhazian
превышение,exceeding
проволочка,delay
злодейство,villainy
мошка,midge
еженедельник,weekly
кандалы,shackles
квадратик,
дублёнка,sheepskin coat
взрыватель,detonating fuse
лыко,bast
распятие,crucifixion
обогащение,enrichment
искажение,distortion
гать,corduroyroad
змейка,
барашек,lamb
брюшко,belly
тол,tolite
ведёрко,bucket
валидол,
прицеп,trailer
кинорежиссёр,film director
привлекательность,attractiveness
лоза,rod
оглавление,table of content
вещичка,little thing
образованность,
кормушка,trough
поступь,step
карьерист,careerist
внучка,granddaughter
беспечность,unconcerned
самозванец,impostor
сходка,meeting
вытрезвитель,sobering-up station
милок,
путч,putsch
доха,fur-coat
возвышенность,height
предплечье,forearm
дамба,dam
целость,safety
тенор,tenor
циновка,mat
патрубок,branch pipe
бахмач,
роджер,
лацкан,lapel
инвентарь,stock
Аргентина,Argentina
подтяжка,facelift
кафель,glazed Dutch tile
свердловск,
удилище,fishing-rod
брюнетка,brunette
кавалерия,cavalry
злодеяние,crime
лютик,spearwort
ярлык,shortcut
заика,stammerer
куль,sack
тягота,burden
оптимист,optimist
самокрутка,cigarette rolled by smoker
халтура,hack-work
гостинец,present
заслонка,oven-door
автоматика,automation
пассаж,passage
курятник,hen-coop
желтуха,jaundice
жезл,rod
папаня,
непорядок,disorder
диагностика,diagnostics
донор,donor
гусёк,
черпак,scoop
менструация,period
растяжка,stretching
простиль,
уродство,deformity
происки,intrigues
крестьянка,peasant woman
ухаб,pot-hole
чёлка,bangs
диво,wonder
хохол,crest
прохвост,scoundrel
просчёт,checking
фортуна,fortune
седловина,saddle
аполлон,
властелин,lord
приписка,addition
кармашек,
болезненность,sickliness
перепуг,
рожон,
кед,
лояльность,loyalty
преддверие,threshold
гарем,harem
многообразие,variety
брюссель,
твердь,
вага,weighing-machine
склероз,sclerosis
угнетение,oppression
плётка,lash
рухлядь,lumber
одиссея,Odyssey
трансляция,transmission
фельетон,satirical article
солея,
мещанство,lower middle classes
индус,Hindu
диафрагма,diaphragm
давка,crush
сатира,satire
идентификация,identification
иглу,
замминистра,
принуждение,compulsion
рябина,mountain ash
авиакомпания,airline
нажива,gain
норка,mink
взыскание,penalty
отчаянье,despair
утопающий,drowning man
дрожжи,yeast
холоп,villein
экзаменатор,examiner
деноминация,denomination
курдюк,fat tail
выкладка,laying-out
утопия,
санчасть,medical unit
квашня,kneading trough
зуй,
несостоятельность,insolvency
мурза,
отвод,rejection
тазик,
лесбиянка,
прореха,tear
фитиль,wick
мистик,mystic
ладан,incense
заноза,splinter
дезинформация,misinformation
сбербанк,Savings Bank
бездействие,inaction
смрад,stink
чача,
гель,gel
гомосексуалист,homosexual
сегмент,segment
примочка,wash
киностудия,film studio
призывной,
фельдфебель,sergeant major
пародия,parody
новостройка,erection of new buildings
урегулирование,regulating
альпы,
утварь,utensils
заплата,patch
ананас,pineapple
бабай,
атеист,atheist
сервант,sideboard
переводчица,Interpreter
кривизна,curvature
неравенство,inequality
причуда,whim
лан,
завиток,lock
однообразие,monotony
Тибет,
ранец,haversack
свершение,achievement
завывание,howling
врата,gate
сумасшествие,mental illness
щебень,road-metal
благоустройство,equipping with services and utilities
извилина,bend
антисемит,anti-Semite
советчик,adviser
абрикос,apricot
местонахождение,location
импровизация,improvisation
биограф,biographer
глас,voice
таинство,sacrament
николь,
гробница,tomb
доверчивость,trustfulness
пристройка,annex
сгиб,bend
Техас,
осечка,misfire
гармонь,Accordion
антонюк,
суша,land
пожарище,site of fire
мотивация,motivation
коровник,dairy man
микроорганизм,microorganism
придача,addition
маятник,pendulum
отсрочка,postponement
грозд,
деформация,deformation
бастион,bastion
садовод,gardener
грёза,dream
мужичонка,
произношение,pronunciation
монахиня,nun
месиво,mash
москвичка,Muscovite
полировальник,
мучитель,tormentor
вышина,height
капитуляция,capitulation
эвм,computer
кофейня,coffee-house
ослик,
высадок,
накал,incandescence
панихида,service for the dead
разруха,ruin
ион,ion
митрополит,metropolitan
кошечка,
брест,Brest
спесь,arrogance
окись,oxide
Шереметьево,
кузница,smithy
шквал,squall
корт,court for tennis...
проницательность,perspicacity
избрание,election
мракобес,obscurantist
созревание,ripening
выселок,settlement
транс,trance
привод,drive
стручок,pod
планшет,tablet
осведомлённость,knowledge
награждение,rewarding
кросс,cross-country race
ловец,fisher
ересь,heresy
милочка,dear
самообладание,self-control
курилка,smoking-room
демагогия,demagogy
штиблета,
лучина,splinter
Ярославль,
фальшь,falsity
духовность,spirituality
жигулин,
детонатор,detonator
пляс,dance
бальзам,balsam
атташе,attaché
корреспонденция,mail
интерфакс,
планшетка,
контузия,contusion
див,
предвидение,foresight
публицист,publicist
комета,comet
клубника,strawberries
слезинка,
Сахалин,
смородина,currants
финансист,financier
бантик,
шурин,brother-in-law
декада,ten-day period
канонада,cannonade
рыбёшка,small fry
горошек,spots
взлом,breaking open
астрономия,astronomy
пожитки,belongings
сетчатка,retina
соплеменник,fellow-tribesman
детёныш,the young
гулливер,
балалайка,balalaika
порождение,result
мордобой,fight
лицемерие,hypocrisy
командор,knight commander
столовка,
локатор,locator
ширинка,fly
бездарность,lack of talent
серость,grey colour
мигалка,
инвалидность,disablement
рассеянность,
свая,pile
нужник,
гипертония,hypertension
несогласие,difference of opinion
неточность,inaccuracy
одночасье,
вариация,variation
рецидивист,recidivist
пролог,prologue
бронхит,bronchitis
дебют,debut
антресоль,
София,
калачик,
поэтесса,poetess
веха,landmark
Рязань,
Калуга,
самоуверенность,self-confidence
крематорий,crematorium
каталка,
отчим,stepfather
дюна,dune
бромберг,
дисплей,display
кум,
экспансия,expansion
компилятор,compiler
шредер,
сынишка,son
смута,turmoil
гомон,hubbub
ручища,
собеседование,interview
затмение,eclipse
вялость,flabbiness
рогуля,
тарелочка,
тунеядец,sponger
скирда,stack
прозрачность,transparence
опус,opus
крепыш,sturdy child
совок,scoop
запрещение,prohibition
Монголия,
санинструктор,
сношение,intercourse
лот,lead
благоговение,awe
ларец,casket
облом,clodhopper
гуманист,humanitarian
вырез,cut
лесоруб,wood-cutter
маслина,olive
медлительность,sluggishness
коровка,
погост,
остов,frame
наглец,insolent fellow
колба,retort
мосол,
ночка,
безысходность,
ржа,
особь,specie
писец,clerk
трепало,swingle
клич,call
кронштадт,
металлург,metallurgist
мимика,mimicry
набросок,draft
крышечка,
расшифровка,deciphering
аккуратность,exactness
оплеуха,box on the ear
патент,patent
героин,heroin
кошёлка,bag
всячина,
трёшка,three roubles
счетовод,accountant
захватчик,aggressor
корн,Feingewicht
атлас,atlas
всхлип,
литературовед,specialist in study of literature
салага,rookie
пиршество,feast
мещанин,petty bourgeois
настояние,insistence
мерцание,twinkling
беломор,
идиотка,
шкалик,shkalik
кочевник,nomad
правнук,great-grandson
покос,mowing
понт,
раздор,discord
отрок,boy
яуза,
поросль,verdure
довершение,completion
столбец,column
кроватка,crib
ходик,hour hand
приведение,ghost
сток,flow
зануда,bore
отшиб,
тюремщик,warder
голодовка,hunger
объективность,objective character
красноречие,eloquence
делишки,affairs
болт,bolt
инфраструктура,infrastructure
паря,
манекенщица,model
бульдог,bulldog
кочерга,poker
Дания,Denmark
рычажок,
поприще,field
попка,butt
мусоропровод,garbage chute
букварь,ABC
распределитель,distributor
подтекст,implication
испражнение,defecation
неверие,disbelief
животик,paunch
мифология,mythology
турне,tour
обладание,possession
вырождение,degeneration
миниатюра,miniature
эмаль,enamel
тута,
сполох,
зао,
виртуоз,virtuoso
сосредоточение,concentration
отток,outflow
рецидив,set-back
заверение,positive statement
засека,abatis
телосложение,build
рытвина,rut
аксиома,axiom
огласка,publicity
хлев,cattle-shed
мозаика,mosaic
сушка,drying
эпиграмма,epigram
баловство,petting
пыльца,pollen
анархия,anarchy
горилла,gorilla
ракурс,angle
личинка,larva
Томск,
координация,co-ordination
мечтатель,dreamer
фарш,stuffing
козлик,
силёнка,
квадрига,
свищ,fistula
селектор,selector
телекамера,TV camera
австриец,Austrian
мегафон,megaphone
гривенник,
хлыст,whip
извержение,eruption
людишки,
истукан,idol
арифметик,arithmetican
меценат,patron of art
изгнанник,exile
кина,
этажерка,book-stand
посвящение,dedication
перепонка,membrane
ишак,ass
свинство,swinishness
мерзлота,frozen condition of ground
чёрточка,hyphen
мандат,mandate
орава,crowd
волчонок,wolf-cub
дурость,folly
опровержение,refutation
арат,
хомяк,hamster
оборванец,ragamuffin
курочка,hen
солдатня,soldiery
завсегдатай,habitue
сестрица,
аферист,shady dealer
мешковина,sacking
мускулатура,muscular system
шкипер,skipper
чувак,
генетика,genetics
согласование,concord
зубец,tooth
криминал,criminal case
бубенчик,bell
зёрнышко,
именины,name-day
колышек,peg
полынь,wormwood
павиан,baboon
турбаза,tourist centre
стульчик,
идиллия,idyll
леспромхоз,timber industry enterprise
дармоед,freeloader
психиатрия,psychiatry
амбал,
уединение,solitude
мутант,
болячка,sore
маменька,
оранжерея,hothouse
синь,
маз,mace
шабаш,sabbath
штемпель,stamp
отшельник,hermit
разгул,raging
замазка,putty
тематика,subjects
усовершенствование,improvement
накат,dead floor
картонка,pasteboard-box
маляр,painter
желтизна,yellowness
заправка,gas station
амазонка,Amazon
строфа,stanza
фишка,counter
берет,beret cap
проблеск,flash
склока,squabble
молва,rumour
каравай,round loaf
яство,
провинциал,provincial
расстановка,placing
кампус,
плошка,earthen saucer
осетия,
щиток,corselet
зубок,bit
нейтралитет,neutrality
первенец,first-born
кокон,cocoon
социум,
пропагандист,propagandist
отвал,mouldboard
неаполь,
тюфяк,mattress
ракетка,racket
телеэкран,television screen
огрызок,bit
копеечка,
налогоплательщик,tax-payer
дельта,delta
пуп,navel
аудиенция,audience
очевидность,
сообразительность,quick wits
вобла,vobla
почитатель,admirer
кредитор,creditor
размножение,reproduction in quantity
черепица,tile
жэк,housing office
пособник,accomplice
компромат,
бойница,loop-hole
инфильтрат,infiltrate
опись,list
экстрасенс,
клавиш,
холуй,lackey
тула,
мечеть,mosque
полоз,sledge runner
костёл,Polish Roman-Catholic church
вербовка,recruiting
тирада,tirade
приверженец,adherent
вексель,note of hand
предводительница,leader
секреция,secretion
барбос,mongrel watch-dog
взаимосвязь,intercommunication
торс,trunk
лакомство,delicacies
мидия,
молочко,
альт,viola
аврал,work involving all hands
строчка,stitch
сценарист,screenwriter
убранство,decoration
неприкосновенность,inviolability
Стамбул,
алтын,three-copeck piece
каста,caste
калач,kalatch
реликвия,relic
переделкино,
дрёма,
западня,trap
кантор,
ныряло,plunger
конфуз,embarrassing position
профком,local trade union committee
спецовка,
хирургия,surgery
кальмар,squid
задворки,backyard
кубометр,cubic metre
отара,flock
слиток,ingot
спортзал,gym
протяжённость,extent
вол,ox
доверенность,warrant
трах,fuck
дымка,haze
Атлантида,
кислица,
балбес,booby
сыта,
радиола,radio-gramophone
бейт,
Тора,
высокомерие,haughtiness
словосочетание,word-combination
зверьё,wild beasts
празднество,festival
дворничиха,wife of dvornik
леденец,fruit-drop
гардеробщик,cloak-room attendant
фельдшерица,medical attendant
ходун,
корифей,coryphaeus
референдум,referendum
принтер,
фиксация,fixation
передел,redivision of the world
отчизна,native land
пожива,gain
раздражитель,irritant
мембрана,membrane
погашение,paying off
пустошь,wasteland
смокинг,dinner-jacket
бампер,bumper
конторка,desk
кровопролитие,bloodshed
рябь,ripple
ландыш,lily of the valley
стояние,standing
пеня,fine
ориентировка,orientation
фреска,fresco
семинария,seminary
шампунь,shampoo
зомби,
колотило,
сектант,sectarian
сердечко,
Багдад,
эфес,sword-hilt
снабженец,supplier
педагогика,pedagogy
декрет,decree
цикада,cicada
букетик,
синоним,synonym
сидень,
алан,
потуга,
чужбина,
бола,
орнамент,ornament
нахрап,
поклонение,worship
неприятие,
копал,copal
древко,pole
бритьё,shave
издёвка,taunt
неприятель,the enemy
еретик,heretic
силач,strong man
насильник,violator
арба,bullock cart
шкала,scale
Пенза,
технолог,technologist
крахмал,starch
загрузка,loading
пихта,fir
афганец,Afghan
душ,shower
грыжа,rupture
обуза,burden
умозаключение,conclusion
лексикон,lexicon
лилипут,lily
башмачок,
марля,gauze
небрежность,carelessness
беспредел,
малярия,malaria
извращенец,pervert
регулятор,regulator
послушание,obedience
рафик,
выведение,Launch
бергер,
сиротина,
повариха,
евангелист,evangelist
чиф,
соболезнование,condolence
капут,end
прыщ,pimple
блат,protection
фонтанка,
молокосос,greenhorn
толща,thickness
антракт,interval
энергетик,power engineering specialist
виновность,guilt
наказ,order
тэк,
трактовка,treatment
деваха,
бестактность,tactlessness
нетерпимость,intolerance
топь,swamp
сокольник,
авангард,advance-guard
весточка,
кипарис,cypress
дружочек,
отчётность,book-keeping
чугунок,
позёмка,blizzard accompanied by ground wind
свояк,brother-in-law
досмотр,examination
сберкасса,
просек,opening
атеросклероз,atherosclerosis
трейлер,
микроавтобус,minibus
символика,symbolism
такса,rate
угон,driving away
нагорье,table-land
заправила,boss
поленница,stack
находчивость,resource
тролль,Troll
подрыв,injury
сарказм,sarcasm
умолчание,passing over in silence
опёнок,honey agaric
герасимовка,
стланик,
работёнка,
притяжение,attraction
бронежилет,
Вавилон,
самозащита,self-defence
помои,slops
оскал,bared teeth
атропин,atropine
сопение,puffing
разведение,breeding
детсад,kindergarten
конник,horseman
морозец,
пекарь,baker
реквизит,properties
фюзеляж,fuselage
транспарант,transparency
гиена,hyena
тупица,dim-wit
садизм,sadism
козлёнок,kid
курта,
лейкоцит,
предместье,suburb
тётенька,aunty
билль,bill
дунай,
резец,cutter
изжога,heartburn
кляп,gag
съём,
прикол,joke
фосфор,phosphorus
особнячок,
прыть,quickness
красавчик,dandy
лужники,
бендеры,
суслик,gopher
экстракт,extract
увар,
обречённость,doom
рея,yard
ропот,murmur
слушание,audition
малютка,baby
хоботок,proboscis
высылка,dispatch
крольчонок,
омерзение,loathing
раздвоение,division into two
мальчонок,little boy
тамада,toast-master
радикулит,
хлоп,
лях,
эстафета,relay-race
здоровяк,
гольф,golf
осман,
коптилка,oil-lamp
перебежчик,deserter
наин,
медвежонок,bear-cub
обрезок,scrap
брелок,trinket
привязь,tie
бечёвка,string
провидение,foresight
пушкинист,Pushkin scholar
габарит,overall dimensions
вибрация,vibration
эрудиция,erudition
медведица,she-bear
остервенение,frenzy
торможение,braking
фура,tractor trailer
фермент,ferment
выправка,carriage
антициклон,anticyclone
курильщик,smoker
коммерция,commerce
автомобилист,motorist
британец,Briton
проситель,applicant
слабоумие,imbecility
арбитр,arbiter
сход,gathering
клерк,clerk
чащоба,
иммиграция,immigration
уха,fish-soup
ерошин,
крендель,knot-shaped biscuit
грамотей,man who can read and write
силок,noose
глубинка,far-away town
извлечение,extraction
луковица,onion
ценитель,judge
казус,case
истинность,truth
бицепс,biceps
проток,channel
бельмо,wall-eye
ровик,
петергоф,
могильник,burial ground
сенокос,hay-mowing
изыск,pretentious novelties
новшество,innovation
ковшик,
крупская,
бандероль,(periodical) wrapper
возбудимость,excitability
самарканд,
чаепитие,tea-drinking
морока,hassle
жёлудь,acorn
федерализм,federalism
некролог,obituary
помешательство,madness
погружение,immersion submersion
роддом,maternity hospital
толстячок,
догма,dogma
хозяйственник,
изваяние,sculpture
ласт,flipper
эксцесс,excess
высь,height
лаборантка,laboratore assistant
дора,
ястреб,hawk
лазутчик,scout
картотека,card index
скарб,goods and chattels
монополист,monopolist
дуновение,whiff
пюре,puree
верование,belief
бахрома,fringe
сноровка,skill
шпаргалка,cheat sheet
поимка,catching
азбука,alphabet
летописец,chronicler
агитатор,
соучастие,participation
обмер,measurement
простодушие,open-heartedness
рядок,
бегун,runner
расхождение,divergence
фаворит,favourite
абразив,abrasive
куропатка,partridge
аэроплан,aeroplane
грибоед,
каменщик,mason
номинация,
шаровары,wide trousers
сознательность,consciousness
гум,
киста,cyst
торжественность,solemnity
пережиток,survival
банкнота,banknote
пво,anti-aircraft defence
генералиссимус,generalissimo
половик,doormat
гинеколог,gynaecologist
трель,trill
ополченец,militiarist
волкодав,wolf-hound
минерал,mineral
раунд,round
атлет,athlete
романтизм,romanticism
фальцет,falsetto
распря,discord
дебаты,debate
интерпол,
вошь,louse
трудолюбие,industry
конфискация,confiscation
ювелир,jeweller
наркомания,drug addiction
диаграмма,graph
нагота,nudity
меланхолия,melancholy
зверинец,menagerie
депеша,dispatch
Самара,
малолеток,
позыв,urge
кабаре,cabaret
кан,
диалектик,dialectician
алгебра,algebra
агония,death-agony
космы,mane
крупинка,grain
шлюз,sluice
вершок,vershok
односельчанин,fellow-villager
снегурочка,Snow-Maiden for Xmas
кормёжка,feeding
выработок,
беззаконие,illegality
иго,yoke
глухота,deafness
вундеркинд,infant prodigy
фазан,pheasant
гадание,fortune-telling
некроз,necrosis
обожание,adoration
присоединение,addition
прослушивание,listening
альянс,alliance
буддизм,Buddhism
приданое,dowry
угодник,one anxious to please
джигит,Dzhigit
демиург,demiurge
духовка,oven
минфин,
эквивалент,equivalent
кинокамера,motion-picture camera
хлёбово,
пахарь,ploughman
невропатолог,neuropathologist
менингит,meningitis
караулка,guard-room
вывих,dislocation
карандашик,
куценко,
брешь,breach
естество,nature
иезуит,Jesuit
таганок,
реформирование,
мазок,dab
ксёндз,Roman-Catholic priest
сородич,kinsman
вязанка,knitted garment
воззрение,view
дилижанс,coach
заначка,stash
проводок,
сухожилие,tendon
вяз,elm
преподавание,teaching
потоп,flood
калория,calorie
простенок,pier
омоновец,
ведун,
основоположник,founder
кавалерист,cavalryman
благородие,
призма,prism
путы,hobble
жары,
запонка,cuff-link
расцветка,colours
парламентарий,parliamentarian
зайка,
вредность,harmfulness
каучук,rubber
оао,
выраженность,
ирландия,Ireland
дрожание,vibration
золушка,Cinderella
грелка,hot-water bottle
кипение,boiling
рэкетир,
сатир,satyr
ненадобность,
горошина,pea
стиляга,fop
полезность,
рать,host
геморрой,piles
глазенки,
зарубежье,
хмырь,
зажим,clamp
великодушие,generosity
умножение,increase
табакерка,snuff-box
опиум,opium
сатирик,satirist
постулат,postulate
надрыв,slight tear
бессмыслица,nonsense
пикет,picket
снадобье,drug
трактирщик,tavern-keeper
Днестр,
синица,tomtit
швейцарец,Swiss
отключение,
единение,unity
постоянство,constancy
ухаживание,nursing/courting
молдаванин,Moldavian
эмир,emir
пай,share
корректор,proof-reader
ротор,rotor
гастрит,gastritis
ладога,
мадрид,
репина,
трущоба,thicket
соперничество,rivalry
реванш,revenge
отрыжка,belch
сытость,satiety
сеньора,
высыпание,
сопоставление,comparison
оказия,opportunity
интендант,quartermaster
катание,drive
мастеровой,factory-hand
скоп,
фрейлина,maid of honour
одноклассница,class-mate
кирпичик,building block
застенок,torture-chamber
тат,
преобразователь,reformer
шалость,prank
канадец,Canadian
сверло,drill
промежность,perineum
земледелец,farmer
баул,portmanteau
цаца,swell
голубок,columbine
свидетельница,witness
имитация,mimicking
лесоповал,tree-felling
открытость,openness
золотник,zolotnik
волчок,whipping top
одёжка,appearance
колика,
дуля,
каменоломня,stone quarry
аккомпанемент,accompaniment
апокалипсис,Apocalypse
ассигнация,banknote
рабыня,slave
портки,pants
сентенция,maxim
книжица,
пике,pique
отросток,shoot
реформация,Reformation
мычание,mooing
сейнер,seiner
эссе,essay
вахлак,lout
утомляемость,fatigue
сбруя,harness
болгарин,Bulgarian
практикант,probationer
жестянщик,
енот,racoon
хризантема,chrysanthemum
козонок,
солянка,solyanka
запустение,desolation
растирание,grinding
наживка,bait
лыжник,skier
железяка,piece of ironmongery
бесстрашие,fearlessness
букашка,insect
олигарх,oligarch
пунктир,dotted line
упад,
консерватор,conservative
риф,reef
обретение,
ооо,
скит,small and secluded monastery
униформа,uniform
домочадец,
местком,local trade union committee
повстанец,rebel
зацепка,clue
полицеймейстер,chief of city police
изгой,social outcast
накладка,Two events at same time
полуторка,thirty-hundred-weight lorry
гутионтов,
примак,
инжир,fig
брусника,cowberries
карачки,
зоб,crop
шайба,washer
брехня,lies
ножичек,
восьмёрка,eight
поволжье,
психотерапия,psychotherapy
поучение,precept
лирик,lyric poet
кочан,head
лео,
вельможа,dignitary
долька,lobule
сыск,detection
душанбе,
кухонька,
чаевые,tip
моздок,
принципиальность,adherence to principle
голодуха,lack of food
свинка,mumps
чахотка,consumption
валежник,fallen trees
кожура,rind
молодчик,swell
фауна,fauna
подлежащее,subject
сервиз,service
вьетнамец,Vietnamese
Барселона,
винчестер,
видеомагнитофон,videotape recorder
севок,
преобладание,predominance
ненападение,non-aggression
распродажа,sale
точило,whetstone
дивиденд,dividend
обивка,upholstering
вратарь,goalkeeper
аналитика,analytic geometry
бутон,bud
неосторожность,carelessness
стежок,stitch
скопище,gathering
приморье,littoral
приверженность,adherence
кругозор,horizon
вертухай,
неисправность,error
пресечение,suppression
паз,slot
булат,damask steel
траур,mourning
англичанка,Englishwoman
лиана,liana
финн,Finn
акробат,acrobat
Шанхай,Shanghai
живость,liveliness
однокурсник,classmate
гемоглобин,haemoglobin
бурелом,wind-fallen trees
шнапс,
подзатыльник,clip on the back of the head
лерка,
напрокат,rental
гонение,persecution
мамалыга,hominy
вымогательство,extortion
томление,languish
перерождение,regeneration
жалюзи,Venetian blind
подштанники,underpants
лжец,liar
шлак,slag
навигация,navigation
двустволка,double-barrel
мочалка,wisp of bast
невыполнение,non-fulfilment
тойота,
межа,boundary path
подельник,
вазелин,vaseline
отзвук,echo
илька,mink
аккордеон,accordion
потливость,
нагревание,heating
вона,
мяло,
мануфактура,manufactory
перебежка,bound
задира,tease
бытность,
пластилин,plasticine
перестук,
разность,difference
вхождение,entry
дол,dale
ухажёр,admirer
танцовщица,dancer
литовец,Lithuanian
гиндин,
цветение,glowering
разговорчик,
бандитизм,gangsterism
себестоимость,cost
замухрышка,
сестричка,Little sister
аэровокзал,air terminal
подпольщик,member of an underground organization
видеокассета,
минобороны,Ministry of defense
саботаж,sabotage
рукомойник,wash-hand-stand
ажиотаж,rush
овражек,
джедай,
регистр,register
уздечка,bridle
полусон,doze
конфетка,sweet
судимость,convictions
прищур,
сотка,hundredth part
охранение,safeguarding
опция,
бамбук,bamboo
вакцина,vaccine
юбиляр,
дождевик,puff-ball
главврач,
Милан,Milan
армеец,serviceman
свастика,swastika
салахов,
консистенция,consistence
хорь,
Астрахань,
вещание,broadcasting
бадья,tub
дюйм,inch
тряпица,
реагирование,
именинник,one whose name-day it is
хариус,grayling
исступление,frenzy
бабник,philanderer
отставание,lag
аркан,lasso
правозащитник,human rights activist
ипподром,hippodrome
уплотнение,consolidation
упокой,
зил,
соискатель,competitor
разорение,destruction
терапевт,therapeutist
плато,plateau
неудовлетворённость,dissatisfaction
румын,Romanian
электропитание,
тревожность,anxiety
княжество,principality
дирижабль,dirigible
прецедент,precedent
теракт,act of terrorism
истома,lassitude
Пакистан,
жакет,jacket
сотворение,creation
чад,fumes
бом,
кораблик,toy-ship
заполнение,
килька,sprat
кубинец,Cuban
предостережение,warning
лампас,stripe
ранка,bandage
вымпел,pennant
отруби,bran
вожделение,lust
спецшкола,
внушаемость,suggestibility
бард,bard
воображала,
наплыв,flow
акведук,aqueduct
таверна,tavern
овал,oval
процессор,
початок,ear
махина,
родич,
гребёнка,comb
торба,bag
припухлость,swelling
фломастер,marker pen
неполадка,defect
хайфа,
пакля,tow
зарница,summer lightning
прорва,a lot
сыроежка,russula
лирика,lyric poetry
азот,nitrogen
непосредственность,spontaneity
блокнотик,
первоисточник,origin
шумок,
овечка,harmless creature
засуха,drought
бридж,bridge
барк,barque
гобелен,tapestry
апатия,apathy
астролог,astrologer
архиепископ,archbishop
