ru,en
губерман,
электронно,electronically
припеваючи,like kings
клейменов,
давыдовна,
химически,
никандров,
разнообразно,
кузмич,
балахонцев,
хлестко,
подспудно,
аморально,
рохлина,
актуально,
ея,
заведеев,
бордо,claret
инвест,
спонтанно,
спилберг,
божески,
абатуров,
ответственно,
добычин,
кучно,
навыворот,inside out
алешкин,
метафорический,metaphorical
безвинно,guiltlessly
бессвязно,
вкруг,
оземь,to the ground
висла,
михайлюк,
верняк,
шпагин,
чаво,
рекордно,
украински,
всенепременно,
мяу,
любимова,
виль,
емельянова,
посейчас,
промтовары,manufactured goods
жалостно,
яко,
исправительно,
негативно,
то,then
всё,always
его,"genetive of ""he"""
её,"genetive of ""she"""
их,their
какой-то,some
что-то,something
больше,bigger
нужно,it is necessary
кто-то,somebody
рядом,near
из-за,because of
всё-таки,for all that
как-то,somehow
всего,in all
какой-нибудь,some
необходимо,it is necessary
известно,it is known
дома,at home
что-нибудь,anything
почему-то,for some reason
где-то,somewhere
лучше,better
когда-то,once
давай,let us
пожалуй,perhaps
во-первых,first
лично,personally
из-под,from under
кто-нибудь,somebody
по-прежнему,as before
скажем,
во-вторых,secondly
б,
куда-то,somewhere
какой-либо,
похоже,probably
чего,what
жаль,it is a pity
неизвестно,it is not known
стыдно,it is a shame
кое-что,something
когда-нибудь,some time
вернее,or rather
по-видимому,apparently
по-настоящему,in the right way
словом,in a nutshell
угодно,wanted
взаимоотношения,
вот-вот,just on the point
себе,
вообще-то,actually
по-русски,in Russian
наряду,alongside
эх,eh
чуть-чуть,extremely a little bit
совместно,in common
где-нибудь,somewhere
слабо,faintly
следом,immediately
по-другому,differently
такой-то,so-and-so
по-своему,
максимально,at most
что-либо,anything
торопливо,hurriedly
родные,relatives
по-разному,differently
как-нибудь,somehow
откуда-то,from somewhere
тем,the
разом,at the same time
дабы,in order
старательно,with application
э,
толком,plainly
пускай,
куда-нибудь,somewhere
сё,this
а-а,
ну-ка,now
эффективно,
тут-то,
бывало,would
в-третьих,thirdly
кое-как,muddle
временно,temporarily
кое-кто,somebody
так-то,so
коли,if
опять-таки,but again
да-да,
неправильно,wrong
неторопливо,
первое,first course
зачем-то,
шёпотом,in a whisper
желательно,it is advisable
даром,for nothing
безнадежно,
кое-где,here and there
по-английски,In English
машинально,mechanically
необыкновенно,unusually
давным-давно,very long ago
кто-либо,somebody
коль,
неуверенно,
э-э,
пресс-служба,Press office
бегом,at a run
нетерпеливо,impatiently
тот-то,
деловито,
военно-морской,naval
снисходительно,indulgently
по-человечески,
раздраженно,
ей-богу,
презрительно,
нет-нет,
только-только,
туда-сюда,hither and thither
отчего-то,
прямо-таки,
лихорадочно,
ан,on the contrary
по-новому,in a new fashion
чудом,miraculously
блестяще,brilliantly
то-то,how
брезгливо,
сколько-нибудь,any
всего-то,
генерал-майор,major-general
тогда-то,
беспомощно,
вольно,freely
косвенно,
купля-продажа,
малое,
недоуменно,
неудивительно,not surprisingly
по-французски,
как-никак,after all
безжалостно,merciless
когда-либо,ever
невыносимо,unbearably
почтительно,
сосредоточенно,with concentration
ну-ну,well-well
по-немецки,
принято,it is accepted
многозначительно,significantly
просто-напросто,simply
слышь,say
удовлетворённо,with satisfaction
целесообразно,
безошибочно,
инстинктивно,
неслышно,
невозмутимо,
по-детски,
щас,right now
верхом,astride
неопределенно,
нибудь,
материально-технический,
первоочередной,first and foremost
по-хорошему,
укоризненно,
выразительно,
еле-еле,hardly
более-менее,more or less
кое,
общественно-политический,social and political
угрожающе,threateningly
криво,crookedly
неведомо,
ха-ха,
шо,
всего-навсего,
возмущенно,
мечтательно,
по-иному,differently
дак,
нерешительно,irresolute
уважительно,
аналогично,
иронически,
кардинально,
непроизвольно,
благодарно,
порой,at times
эмоционально,
возбужденно,
доверительно,
положено,
прямиком,straight
пуще,
непривычно,
раньше,before
свято,piously
чего-то,something
бойко,smartly
восхищенно,
сокрушенно,
браво,bravo
вдохновенно,inspiredly
да-а,
дружелюбно,
подсознательно,
несправедливо,
сколько-то,
битком,
мало-помалу,little by little
мигом,in a flash
член-корреспондент,corresponding member
безропотно,without a murmur
бен,
бесцеремонно,without ceremony
катастрофически,
неумолимо,
по-нашему,as we think
трогательно,it is touching
здравствуйте,hello
опасливо,
увлечённо,with enthusiasm
хо,
буль-буль,
допустим,let us assume
м,
непринуждённо,without embarrassment
потому-то,
счас,
не-ет,
неизмеримо,immeasurably
ок,
разочарованно,with disappointment
агропромышленный,agroindustrial
мало-мальски,in the slightest degree
неистово,furiously
неразрывно,
по-моему,in my opinon
по-вашему,in your opinion
столько-то,
целенаправленно,
вэ,
довольно-таки,quite
здрасте,Short form of здравствуйте
зловеще,
незначительно,
там-то,
в-четвёртых,fourthly
далеко-далеко,
законодательно,
имхо,
о-о,
совестно,
торжествующе,
динамично,
какой-никакой,
навалом,in bulk
положим,let us assume
порядком,pretty
по-старому,as before
самозабвенно,
беспрестанно,continually
вкрадчиво,insinuatingly
давай-ка,
недвусмысленно,
предусмотрительно,
пренебрежительно,
проникновенно,
суетливо,
безмятежно,serenely
безнаказанно,with impunity
бесстрашно,
доброжелательно,
легкомысленно,lightly
оглушительно,
по-хозяйски,thriftily
умоляюще,
философски,philosophically
чей-нибудь,
агрессивно,
взад-вперед,
гармонично,
досадливо,
катин,
кокетливо,
красноречиво,
неправдоподобно,
очень-очень,
прям,
свойственно,
требовательно,
великодушно,it shows generosity
долго-долго,
м-да,
неотступно,
неуловимо,
быстро-быстро,
волей-неволей,willy-nilly
госслужащий,public servant
идеологически,
истово,
миролюбиво,
неотвратимо,
неприязненно,
особняком,by oneself
по-домашнему,simply
празднично,festively
причудливо,
што,
язвительно,
беспорядочно,in confusion
бесстрастно,
все-все,
ла,
много-много,at most
озадаченно,
по-доброму,
придирчиво,
примирительно,
услужливо,helpfully
ну-с,
дез,
аккурат,exactly
самовольно,
ходуном,
авансом,in advance
авиабомба,aircraft bomb
авиапочтой,air mail
авторалли,motor rally
адски,infernally
амба,kaput
анданте,andante
апостериори,a posteriori
априори,a priori
архилгун,archliar
баба-яга,Baba-Yaga
бай-бай,bye-bye
бакенбарды,whiskers
баттерфляй,butterfly stroke
баю-бай,lullaby
безалаберно,in a disorderly manner
безбедно,comfortably
безвременно,prematurely
безвыездно,without quitting
безвыходно,without going out
безгранично,infinitele
беззаветно,selflessly
безобидно,inoffensively
безответственно,irresponsibly
безотказно,smoothly
безотлагательно,urgently
безотлучно,absenting oneself for an instant
безотносительно,irrelative
безрассудно,rashly
безудержно,without restraint
бенефис,benefit performance
беременная,pregnant
бесконтрольно,uncontrolledly
бесперебойно,without interruption
бесплодно,in vain
бесподобно,it is excellent
беспорядки,disturbance
беспошлинно,free of duty
беспременно,without fail
беспристрастно,impartially
беспричинно,without cause
беспробудно,without waking
бессменно,at a stretch
бессовестно,it shows lack of scruple
благовоспитанно,politely courteously
ближе,nearer
богаче,richer
боком,sideways
бочком,sideways
брутто,gross
бултых,plop
буржуазно-демократический,bourgeois-democratic
театр-буфф,comedy
бухарка,Bokharan
быстродействующий,fast-acting
вагоновожатый,tram-driver
ввек,never
ввечеру,in the evening
ввосьмеро,eight times
ввосьмером,eight
вгорячах,in the heat of the moment
вдевятеро,nine times
вдевятером,nine
вдесятеро,ten times
вдесятером,ten
весной,in spring
весною,in spring
вечерело,night was falling
вечерком,in the evening
вечером,in the evening
вечор,last night
видеотелефон,videotelephone
видеотелефонный,videotelephone
видимо-невидимо,multitudes
визуально,by sight
виндсерфинг,wind-surfing
винтом,spirally
вихрем,like the wind
вкруговую,round
влюблённо,lovingly
внове,new
вовеки,for ever
водонепроницаемый,watertight
возмутительно,it is a scandal
волхвы,the Magi
воровски,thievishly
ворчливо,peevishly
восемью,eight times
восьмичасовой,of eight hours
вотще,in vain
вполнакала,dimly
впопад,apropos
впритирку,very tightly
впросонках,still half asleep
впятеро,five times
в-пятых,fifthly
враждебно,hostilely
вразбивку,at random
вразброд,separately
вразброс,separately
врастяжку,at full length
временами,at times
врукопашную,hand to hand
всемерно,to the utmost
всемеро,seven times
всемером,seven
всплошную,in a solid mass
встарь,in olden times
всуе,in vain
всухую,without scoring a point
втёмную,blindly
втридорога,triple the price
втройне,three times as much
вчерне,in the rough
ВЧК,All-Russian Special Commission for Combating Counter-revolution and Sabotage
вчуже,as an outsider
вшестеро,six times
вшестером,six
въявь,in reality
выдуманный,made-up
выпукло,in relief
высокопарно,grandiloquently
вычурно,pretentiously
галопом,at a gallop
гантели,dumb-bells
где-либо,somewhere
герметически,hermetically
гермоперчатки,pressurized gloves
завод-гигант,giant factory
гидрографический,hydrographic
гипосульфит,hyposulphite
гипотермия,hypothermia
гласно,publicly
глиссандо,glissando
глубокомысленно,thoughtfully
гнусаво,nasally
годами,for years
голословно,without adducing any proof
голышом,stark naked
горделиво,haughtily
горячее,first course
господа,gentlemen
градом,thick and fast
грядёт,is coming
гуманно,humanely
гуртом,wholesale
гурьбой,in a crowd
дальше,farther
двойняшки,twins
двояко,in two ways
девятью,nine times
дельно,efficiently
день-деньской,the livelong day
десятисложный,decasyllabic
де-факто,de facto
де-юре,de jure
диаметрально,diametrically
диафильм,film strip
дисквалификация,disqualification
дифтерит,diphtheria
днём,in the day-time
докуда,how far
долее,longer
дополна,brimful
досиня,until blue
досконально,thoroughly
досуха,dry
досюда,up to here
дотемна,until it gets dark
дотуда,up to there
дочерна,till is black
дочиста,till is spotless
душевная,shower-baths
единовременно,once only
ежеминутно,every minute
еженощно,nightly
ежесуточно,every day
по-женски,in a feminine way
забрезжило,it is just beginning to get light
завистливо,with envy
заглазно,in absence
задёшево,very cheaply
задом,backward
задыхаясь,breathlessly
заездом,passing through
заимообразно,on credit
закономерно,it is in order
залпом,in one gulp
запальчиво,passionately
заподлицо,flush
зараз,at once
засахаренный,candied
засим,hereafter
звуконепроницаемый,sound-proof
здраво,reasonably
земляне,inhabitants of the Earth
зимой,in winter
идиосинкратический,idiosyncratic
инженер-электрик,electrical engineer
инженер-строитель,inşaat mühəndisi
интенсификация,intensification
искони,from time immemorial
исподнизу,from underneath
исполу,half and half
исстари,from olden times
как-либо,somehow
каково,how
каракуль,astrakhan fur
келейно,privately
кое-когда,now and then
кое-куда,somewhere
коллегиально,collectively
кондитерская,sweet-shop
контрабандой,instrumental case singular of: контрабанда
кончая,ending with ...
краше,more beautiful
крепко-накрепко,very tightly
крест-накрест,criss-cross
кувырком,topsyturvy
куда-либо,somewhere
Кузбасс,the Kuzbas
кукареку,cock-a-doodle-doo
кулисы,wings
курсы,courses
кустование,interconnection
ладушки,pat-a-cake
летом,in summer
лётчик-космонавт,space pilot
литография,lithograph
лук-порей,leek
любо,it is pleasant
любо-дорого,it is a real pleasure
маковые,papaverous plants
малоразвитой,underdeveloped
маслоуловитель,oil catcher
машинизированный,provided with machines
меблированный,furnished
медлительно,sluggishly
местами,here and there
метёт,there is a snow-storm
микрография,micrography
микрокалькулятор,microcalculator
микрофарада,microfarad
лётчик-миллионер,pilot who has flown over a million kilometres
мимоездом,in passing
миндалины,tonsil
многообъективный,multilens
многоцилиндровый,multicylinder
множимое,multiplicand
моментами,now and then
мораториум,moratorium
морозно,it freezes
мотогонки,motor-cycle races
моторалли,motor-cycle rally
мультиплан,multiplane
набело,clean
навыкат,bulging
на-гора,to the surface
назади,behind
назидательно,didactically
наипаче,still more
пруды-накопители,catching basins
наперекосяк,aslant
наперечёт,all without exception
напрочно,firmly
натрое,in three
натуго,tightly
наудалую,recklessly
нахрапом,all of a rush
нацело,entirely
начерно,roughly
нашармака,without paying
нашармачка,without paying
неблагополучно,not happily
небогато,in a small way
небронированный,unarmoured
невидимкою,invisibly
неволей,forcibly
негладко,unevenly
недёшево,at a considerable price
недоброжелательно,with ill-will
недостойно,it is unworthy
нежирно,nothing to write home about
незаклеенный,unsealed
неизученный,unstudied
нелегально,illegally
нелишне,it is not out of place
немалочисленный,rather numerous
немилосердно,unmercifully
немилостиво,ungraciously
ненадобно,not wanted
ненамеренно,unintentionally
необдуманно,rashly
необусловленный,unstipulated
неодолимо,invincibly
неоколониалистский,neo-colonialist
неопрокидывающийся,non-capsizable
неорганизованно,individually
неосведомлённый,uninformed
неослабно,unremittingly
неотлучно,continually
неподобающе,in an unseemly manner
неполадки,defects
непоследовательный,inconsistent
непочтительно,disrespectfully
непредубеждённый,unprejudiced
непредусмотрительный,improvident
непрестанно,incessantly
непростительно,it is unforgivable
непутём,badly
неравно,what if
несвязно,incoherently
несказанно,unspeakably
нетоварищеский,unfriendly
нетто,net
неуважительно,disrespectfully
неудовлетворительно,unsatisfactorily
неукрощённый,untamed
неурегулированный,outstanding
неусовершенствованный,unimproved
нефтеносный,oil-bearing
нецелесообразно,to no purpose
нешоссированный,unmetalled
низом,along the bottom
новобрачные,the newly-weds
школа-новостройка,newly-built school
номинально,nominally
ноты,music
обдуманно,deliberately
обмороженный,frost-bitten
обок,close by
обособленно,apart
обоюдно,mutually
обтрёпанный,frayed
общеизвестно,it is generally known
общеупотребительный,current
общо,generally
овдовевший,widowed
овдовелый,widowed
огулом,in a crowd
одёр,old hack
одесную,to the right
одиножды,one times
слово-однодневка,nonce-word
озимые,winter crops
океанография,oceanography
оковы,fetters
околопестичный,perigynous
омерзительно,sickeningly
оптом,wholesale
оргтехника,technical means and equipment for accounting
орудия,ordnance
осенью,in autumn
осквернительница,defiler
отварной,boiled
отвлекающий,counter-attracting
отколе,whence
откуда-либо,from somewhere or other
откуда-нибудь,from somewhere or other
отроду,never
отселе,hence
отступя,off
оттоле,thence
офтальмолог,ophthalmologist
оцинкованный,zinc-coated
очистки,peelings
ошуюю,to the left
ощупью,groping
пагубно,ruinously
пантомим,pantomime
парапсихология,parapsychology
парит,it is sultry
паронепроницаемый,steam-tight
пасмурно,it is cloudy
пацифизм,pacifism
пелёнки,nappies
пельмени,pelmeni
пентаметрический,pentametric
перво-наперво,first of all
переборот,overcome
перевёртывать,turn over
перевыборы,election
перегной,humus
перекаты,shallows
переливы,tints
переплётная,bindery
перпендикулярно,perpendicularly
перфокарта,punched card
пианиссимо,pianissimo
пиано,piano
пиччикато,pizzicato
планёр-паритель,soaring glider
планета-спутник,satellite
платёжеспособный,solvent
плиссе,accordion pleats
плясовой,dance
побольше,a little older
по-братски,fraternally
повально,without exception
поварёшка,ladle
поверхностно,superficially
по-весеннему,as in spring
повседневно,daily
повыше,a little higher
подальше,somewhat
подделывательница,falsifier
по-дедовски,as of old
подекадно,every ten days
подённо,by the day
подобру-поздорову,in good time
подробнее,at greater length
по-дружески,in a friendly way
подтяжки,braces
по-дурацки,foolishly
по-зверски,brutally
позволь,allow me
позже,later
по-зимнему,as in winter
поимённый,nominal
поквартально,by the quarter
полкило,half a kilogram
полагается,one is supposed
полегоньку,by easy stages
полегче,lighter
по-летнему,as in summer
ползком,crawling
поливитамины,polyvitamins
полиграфия,polygraphy
полимеры,polymers
пол-литра,half litre
полным-полно,full
полукопытный,subungulate
полупальто,short coat
получше,a little better
полушерстяной,half-woollen
полушутя,half in jest
полюбовно,amicably
по-людски,as others do
по-мальчишески,in a boyish way
поменьше,a little less
помесячно,by the month
помнится,I remember
по-над,along
понарошку,for fun
понедельно,by the week
пониже,lower
по-осеннему,as in autumn
попозже,later
пополуночи,after midnight
по-приятельски,as a friend
попудно,by the pood
пораньше,a bit earlier
порожняком,empty
поротно,by companies
по-рыцарски,in a chivalrous manner
по-свойски,in a familiar way
поскорее,somewhat quicker
посменно,in turn
по-соседски,in a neighbourly way
посотенно,by the hundred
посредственно,so-so
постановили,resolved
посуточно,by the day
посуху,on dry land
по-твоему,in
потруднее,more difficult
потупившись,with downcast eyes
поурочно,by the piece
похолодало,it has got colder
почему-либо,for some reason of other
почему-нибудь,for some reason of other
поштучно,by the piece
превратно,wrongly
прекрасное,the beautiful
прерывисто,in a broken way
престолонаследница,successor to the throne
преумножение,augmenting
привязанный,attached
призма-отражатель,reflecting prism
приметы,distinctive marks
примирительница,reconciler
примиряюще,in a conciliatory way
принуждённый,constrained
принципиальничать,be over-scrupulous
пристрастно,with partiality
присутствующие,those present
продуктивно,productively
проездом,in transit
простёгивать,to quilt
противоипритный,anti-mustard-gas
противокислотный,acid-proof
противолихорадочный,antifebrile
противоснарядный,shell-proof
протоактиний,protoactinium
профанация,profanation
профтехучилище,vocational training school
проще,simplest
прямёхонько,straight
психоневропатологический,psychoneuropathologic
психоневропатология,psychoneuropathology
пунктуально,punctually
пятинедельный,of five weeks
равноотстоящий,equidistant
рад-радёшенек,pleased as Punch
радужно,cheerfully
разведённый,divorced
раздражительно,with irritation
размашисто,boldly
разобщённо,apart
разок-другой,once or twice
ракета-носитель,carrier rocket
рамки,limits
раскованно,relaxedly
раскрепощённый,emancipated
распарывание,ripping
рассвело,it is already light
расчётливо,prudently
рационально,rationally
ре-диез,D sharp
рекогносцировочный,reconnoitring
рекогносцировщик,reconnoitrer
рельефно,in relief
реснички,cilia
республиканство,republicanism
ретиво,zealously
родом,by origin
розно,apart
розовато-белый,pinky-white
сам-друг,with one other
скатерть-самобранка,magic table-cloth
самодовольно,complacently
самолёт-торпедоносец,torpedo aircraft
самонадеянно,conceitedly
самоотверженно,selflessly
самотёком,by gravity
самотормозящийся,self-braking
самоуверенно,with self-confidence
сам-пят,with four others
сам-сём,with six others
сам-третей,with two others
сам-четвёрт,with three others
сам-шёст,with five others
саркастически,sarcastic
сверхурочно,overtime
глагол-связка,link-verb
сдельно,by the job
севернее,to the north
семью,seven times
силой,by force
силком,by force
сиротливо,lonely
скачками,by leaps
склады,syllables
скопом,in a crowd
скорее,rather
скорей,rather
скученно,densely
слабовато,rather badly
слащаво,all sugar and honey
слёзно,tearfully
слесарь-инструментальщик,look-maker
слитно,together
случаем,by any chance
совокупно,jointly
согласованно,in concord
солидарно,jointly
сомнительно,it is doubtful
сослепа,due to poor sight
сослепу,due to poor sight
сохранно,safely
спортсмен-спелеолог,pot-holer
сплеча,straight from shoulder
спроста,artlessly
спутанно,confusingly
спьяна,in a state of drunkenness
сряду,running
стаккато,staccato
стенографический,stenographic
стенография,stenography
стереофонический,stereophonic
стоймя,upright
стократ,a hundred times
строго-настрого,very strictly
студент-медик,medical student
сызмала,from ever since
сырьём,raw
так-таки,really
там-сям,here and there
телеграмма-молния,express telegram
телекс,telex
телефильм,telefilm
телефотоаппарат,long-range camera
темнеет,it is getting dark
темным-темно,pitch-dark
угро-финский,Ugro-Finnic
удовлетворительно,satisfactorily
уединённо,solitarily
узникузница,prisoner
уменьшаемое,minuend
умеючи,skilfully
умнее,wiser
уморительно,it is extremely funny
уранопластика,uranoplastics
урождённая,nee
успеется,there is still time
устои,foundations
утром,in the morning
ухабы,pits and bumps
аба-ван,
аббревиатор,
аберрометр,
кайса,
адаптирование,
по-азербайджански,
по-азиатски,
ой-ой,
айсбергообразующий,
академично,
аксиоматизация,
алчно,
анархично,
анонимно,
апатично,
рукоплескания,
аргументик,
аргументированно,
аристократично,
ароматно,
архивно,
архиепископат,
ассоциативно,
атлетский,
пашто,
по-баварски,
октада,
бдить,
перебегнуть,
пробегание,
побей,
бережливо,
бешенный,mad
поканчивать,
кончено,
неограниченно,
обеспокоенно,
беспокой,
беспокоица,
битность,
побитовый,
побитно,
оббивка,
болого,
блатота,
блатовать,
блистательно,
близить,
изблизи,
поближе,
блюзмен,
по-божески,
богомольческий,
по-боевому,
петух-боец,
по-болгарски,
бор-машина,
брачующийся,
ругательства,
братанна,
братолюб,
братолюбец,
броско,
брянка,
брянчанин,
выбунтовать,
добунтовать,
набунтовать,
сбунтить,
бух,
валом,
валение,
вениковый,
вещина,
видить,
Византия,
виконтский,
Вильна,
повинить,
обвивка,
владения,
внешностный,
невнимательно,
военачальница,
по-военному,
увозти,
волчистый,
волковать,
волчисто,
по-волчьи,
провоняться,
воор,
ворофилия,
вульгарно,
выборочно,
избирательно,
выдержаный,
обыграться,
переиграться,
переигрываться,
выигрышно,
проигрышно,
высить,
тёрочка,
вычислительница,
численно,
по-вьетнамски,
дубль-вэ,
вязко,
нежданно-негадано,
галерник,
брюки-галифе,
пушка-гаубица,
по-германски,
героинчик,
диаморфин,
герыч,
гердос,
герандос,
гладило,
глобально,
вприглядку,
глядя,
говнишко,
говнистость,
говёный,
говнять,
говёно,
какашки,
голубоглазка,
горче,
грабительски,
биграф,
нуль-граф,
псевдограф,
суграф,
недогревать,
недогреть,
по-гречески,speak in Greek
грозушка,
гуртьба,
давитель,
раздавиться,
раздавливаться,
дальноказ,
датировочный,
датировщик,
в-двадцатых,
дебело,
девственно,
дежурны,
декановый,
деканол,
дереворубка,
древоеды,
древотёрка,
древпластики,
дерзновенно,
дерьмоед,
десяточка,
в-десятых,
деятельно,
действенно,
диаспорический,
диаспорный,
дипломатский,
дипломатично,
дипломатически,
доблестно,
доказательно,
бездоказательно,
домкратик,
домкратчик,
допустимо,
доцентка,
драматизирвать,
дружественно,
вдув,
духовочка,
бездушно,
по-европейски,
Египт,
по-египетски,
недоезжать,
недоехать,
ёлки-палки,
ёлочкой,
ёрзание,
жалостливо,
избжарить,
сожгут,
желтушечный,
жидко,
жиденько,
жидковато,
пожонглировать,
зажираться,
забавничанье,
забавище,
забавчивый,
забавистый,
забавление,
завдигать,
займ,
занимательй,
занозиться,to make trouble with smb
занимательно,
запоем,
запорожка,
заслуженый,
зашитник,
завторять,
трезвон,peal
выздороавливать,
здравствование,
здравствуй,
зевный,
по-земному,
озернить,
озернять,
знакомо,familiar
знаменито,
знатно,
познавательно,Educational
значимо,
зобогенный,
зоопарковый,
зазря,
ЗеКа,
ЗК,
идентично,
тайч,
идиш-тайч,
одонтоглифика,
иероглиф-пиктограмма,
псевдоиероглифический,
позднеиероглифический,
иеромонахиня,
иерусалимка,
избыточно,
извините,sorry!
изменнически,
аэрофотоизображение,
микроизображение,
полиизображение,
фотоизображение,
Израил,
Исраэль,
индустриально,
инертно,
безинициативный,
институировать,
инструментально,
интерактив,
интерактивность,
интерактивщик,
интерактивно,
интервальчик,
школа-интернат,boarding school
интим,
инфляционность,
инфраструктурный,
по-ирландски,
уникально,
по-испански,
исправленнный,
пытливо,
исчезающе,
итальянизировать,
по-итальянски,
иудаика,
иудаистски,
по-казахски,
кактусный,
календарность,
календарно,
калибрирование,
калиброподобный,
камчатец,
кап-кап,
капитально,
карачиться,
карусельщица,
катализация,
раскаить,
окатка,
укат,
укатайка,
некачественно,
квантованный,
кенгуриный,
кинематографистка,
кинжальчик,
кинжалища,
кыргыз,
кыргызка,
кыргызский,
по-киргизски,
кирпичище,
кирпичность,
кис-кис,
китиха,
по-китайски,
классификационный,
клевание,
клопишка,
клопища,
клоповница,
клоповар,
клоповий,
клоповидный,
клятвенно,
книгодержатель,
книженция,
коалиционность,
коалиционно,
ковроткачиха,
ковровидный,
коврообразный,
ковроподобный,
ковром,
кожезаменитель,
кокетничание,
колебательность,
колебательно,
количественно,
количественность,
коллегиум,
коллективчик,
коллекционерка,
колоколообразность,
колоколоподобный,
колониальность,
колониалистский,
колониально,
кололка,
Вашингтон,
командирство,
командирствовать,
комбайнирование,
комбайностроитель,
комбайнерский,
комбайноремонтный,
комбатский,
комбинаторность,
комбинаторша,
комбинированность,
комбижировый,
комбинатовский,
комбисилосный,
комбинационно,
комбинированно,
комиссация,
комиссование,
комитентский,
коммунальница,
коммунальщица,
коммунарский,
коммуникативность,
коммуникационность,
коммуницирование,
компетентно,
комплексификация,
комплекснозначность,
комплексометрия,
комплексонометрия,
комплексообразование,
комплексообразователь,
комплекснозначный,
комплексометрический,
комплексонометрический,
комплексно,
комплектирование,
комплектировать,
комплектироваться,
комплектно,
Комсомольск,
конспективно,
поконфиденциальничать,
концерновый,
конюшонок,
конюшничать,
пригривник,
накапываться,
кормность,
корпусировать,
корреспондентишка,
корреспондеция,
исикоса,
космополитка,
кощунья,
кощунственность,
кощунский,
кощунственно,
красочка,
красногвардейка,
крейсерование,
крепкость,
кривенько,
кривовато,
кричаший,
крикливо,
кристаллин,
кристально,
раскорвянить,
крошечность,
кружавчик,
кружевник,
клёво,
крымчанин,
раскрываемость,
крючочный,
кря-кря,
кубриковый,
кубричный,
кульурный,
культуристский,
курчёнок,
курочник,
курятня,
курокрад,
курохват,
куроядец,
куролапый,
по-куриному,
по-курьи,
курваль,
курвёнок,
курвин,
курвиный,
курвиться,
курвяжиться,
курвяжища,
курвяжница,
курвяжный,
вкушание,
кусковый,
кусочный,
укушавшийся,
кусочничать,
безвкусно,
вприкуску,
ладаница,
ласочий,
заледенело,
лекарственно,
лекционность,
Санкт-Петербург,
леточисление,
лживенький,
лживо,
ливийский,
лидерша,
липчанин,
лирочка,
лисолов,
лисячий,
лисовать,
по-лисьи,
по-лисичьи,
лисочка,
листка,
литературоведка,
по-литовски,
долив,
лиходействовать,
мина-ловушка,
взломаться,
заломаться,
ломаная,
лук-батун,
лук-татарка,
лук-чеснок,
залунный,
стереолупа,
диалупа,
лучемёт,
лучеобразно,
лучезарно,
лычка,
лысеющий,
люстровый,
лягуша,
квак,
ква-ква,
мажоранта,
мажорирующий,
мажорировать,
мажорно,
промазываться,
малить,
перень,
перенёк,
мамочки,
Маньчжу,
Маньчжоули,
марафонец,
манганат,
марионеточка,
маркизат,
марш-манёвр,
безмассовый,
массивно,
массово,
масштабно,
материалический,
матершина,
матричка,
махачкалинец,
мегафонный,
по-медвежьи,
мелодизм,
лягавый,
немереваться,
мертвецки,
ПМЖ,
месячные,
метафорика,
механично,
механистически,
рыба-меч,
мешка,
мешковидный,
мешковой,
Мещанинов,
мещановатый,
мещански,
намещаниться,
по-мещански,
милосердство,
милосердно,
помилосерднее,
милосерднее,
минчанка,
минчане,
мировоззренчески,
сколькие,
несколькие,several
столькие,
можжевельный,
мозолька,
по-молдавски,
моложаво,
намалываться,
намолоться,
мололка,
белокаменная,
златоглавая,
по-московски,
мультфильмовский,
Мурман,
мухоловный,
мясисто,
наборчик,
водяниковые,
Надя,
назначиться,
наихороший,
наличка,
напряг,
напряжный,
напряжно,
находчивать,
светло-голубой,
несмыслящий,
недумающий,
верящий,
афро-американец,
пентакварк,
тау-лептон,
отталкивающе,
притерпеть,
притерпевать,
дотерпеться,
оттерпеться,
нижина,
низенько,
низменно,
нищить,
нищенски,
новороссиец,
новороссийка,
новороссийский,
новосибирец,
новосибирка,
новьё,
новоприбретённый,
ножевидный,
обаятельно,
обманность,
обманно,
обманчиво,
оборотик,
оборотка,
вервольф,
обширно,
поясняться,
ясненько,mmmokay
вынужден,
архангелогородец,
одесситский,
город-мама,
оказанный,
оккупантка,
флексия,inflexion
омич,
неопасливый,
заопасаться,
неопасно,
опоясывание,
оптимистичность,
организаторски,
оренбуржец,
оригинально,
осёдлывание,
безосколочность,
осколочность,
безосколочный,
безоскольчатый,
начала,
осмотрительно,
берегись,watch out
остроглазный,
отдельчик,
оличить,
окей,okay
пропечетать,
безотрывно,
наперерыв,
срыву,
урывочками,
взрывоопасно,
ФИО,last name first name patronymic
бункер-поезд,
дизель-поезд,
поездочный,
переездить,
охотнее,
осчитка,
падений,
пакленный,
по-палестински,
памятность,
памятно,
запомнившийся,
пара-тройка,
парадик,
паразитый,
парализатор,
парализованый,
параллелизация,
параллелизовать,
параноид,
параноидизм,
параноидальный,
рубаха-парень,
партячейка,
прихожане,
верующие,
паузовый,
паханский,
певуче,
певчески,
напевно,
испекать,
Бэйцзин,
пельменница,
пельменный,
пельменщик,
пельменщица,
пекарь-пельменщик,
пенки,
пенёчный,
пнёвый,
пепельник,
пергаментик,
пергаментирование,
проворот,
перевёртывание,
задачный,
дано,given
перестановочный,
периодично,
пермчанин,
санктпетербуржец,
петербурженка,
пропевать,
распевание,
печатно,
припёка,
пигмейка,
пикинёр,
пикетированный,
пикетироваться,
пикетный,
вины,
вини,
пилево,
пионербол,
первопроходческий,
